"filename", "language", "YAML", "Markdown", "C++", "comment", "blank", "total"
"/home/braunbr/git/Projects/DroneController/lib/Ripple/.clang-format", "YAML", 73, 0, 0, 0, 3, 76
"/home/braunbr/git/Projects/DroneController/lib/Ripple/README.md", "Markdown", 0, 5, 0, 0, 2, 7
"/home/braunbr/git/Projects/DroneController/lib/Ripple/doc/architecture.md", "Markdown", 0, 47, 0, 0, 14, 61
"/home/braunbr/git/Projects/DroneController/lib/Ripple/doc/brainstorm.md", "Markdown", 0, 16, 0, 0, 7, 23
"/home/braunbr/git/Projects/DroneController/lib/Ripple/doc/features_and_tasks.md", "Markdown", 0, 5, 0, 0, 2, 7
"/home/braunbr/git/Projects/DroneController/lib/Ripple/doc/pipe_allocation.md", "Markdown", 0, 29, 0, 0, 8, 37
"/home/braunbr/git/Projects/DroneController/lib/Ripple/inc/Ripple/network", "C++", 0, 0, 5, 9, 4, 18
"/home/braunbr/git/Projects/DroneController/lib/Ripple/inc/Ripple/physical", "C++", 0, 0, 9, 9, 4, 22
"/home/braunbr/git/Projects/DroneController/lib/Ripple/inc/Ripple/session", "C++", 0, 0, 6, 9, 4, 19
"/home/braunbr/git/Projects/DroneController/lib/Ripple/inc/Ripple/shared", "C++", 0, 0, 6, 9, 4, 19
"/home/braunbr/git/Projects/DroneController/lib/Ripple/inc/Ripple/transport", "C++", 0, 0, 6, 9, 4, 19
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/datalink/data_link_arp.cpp", "C++", 0, 0, 59, 26, 23, 108
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/datalink/data_link_arp.hpp", "C++", 0, 0, 29, 54, 16, 99
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/datalink/data_link_driver.cpp", "C++", 0, 0, 18, 13, 5, 36
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/datalink/data_link_driver.hpp", "C++", 0, 0, 10, 19, 6, 35
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/datalink/data_link_service.cpp", "C++", 0, 0, 359, 240, 111, 710
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/datalink/data_link_service.hpp", "C++", 0, 0, 61, 153, 33, 247
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/datalink/data_link_types.hpp", "C++", 0, 0, 91, 78, 27, 196
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/network/network_thread.cpp", "C++", 0, 0, 0, 0, 1, 1
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/network/network_types.hpp", "C++", 0, 0, 31, 44, 17, 92
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/physical/phy_device_constants.hpp", "C++", 0, 0, 21, 20, 9, 50
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/physical/phy_device_driver.cpp", "C++", 0, 0, 976, 482, 277, 1735
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/physical/phy_device_driver.hpp", "C++", 0, 0, 62, 411, 61, 534
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/physical/phy_device_internal.cpp", "C++", 0, 0, 164, 75, 48, 287
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/physical/phy_device_internal.hpp", "C++", 0, 0, 25, 130, 20, 175
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/physical/phy_device_register.hpp", "C++", 0, 0, 260, 67, 23, 350
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/physical/phy_device_types.hpp", "C++", 0, 0, 214, 71, 40, 325
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/physical/phy_fsm_controller.cpp", "C++", 0, 0, 202, 64, 66, 332
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/physical/phy_fsm_controller.hpp", "C++", 0, 0, 98, 87, 36, 221
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/session/process/process_establish_connection.cpp", "C++", 0, 0, 29, 13, 17, 59
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/session/process/process_intf.hpp", "C++", 0, 0, 44, 13, 13, 70
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/session/process/process_join_network.cpp", "C++", 0, 0, 29, 14, 18, 61
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/session/process/process_terminate_connection.cpp", "C++", 0, 0, 29, 13, 17, 59
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/session/session_process.hpp", "C++", 0, 0, 46, 61, 19, 126
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/session/session_service.cpp", "C++", 0, 0, 127, 69, 37, 233
"/home/braunbr/git/Projects/DroneController/lib/Ripple/src/session/session_service.hpp", "C++", 0, 0, 40, 89, 22, 151
